"line_id","line_name","line_color","is_night_service","created_at","updated_at"
"1","Bakerloo","#B36305","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"2","Central","#E32017","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"3","Circle","#FFD300","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"4","DLR","#00A4A7","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"5","District","#00782A","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"6","Hammersmith & City","#F3A9BB","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"7","Jubilee","#A0A5A9","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"8","London Overground","#EE7C0E","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"9","Metropolitan","#9B0056","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"10","Northern","#000000","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"11","Piccadilly","#003688","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"12","TfL Rail","#Gray","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"13","Victoria","#0098D4","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
"14","Waterloo & City","#95CDBA","False","2026-05-29 15:27:23.255907","2026-05-29 15:27:23.255907"
