"entry_exit_id","station_id","date_id","total_entry_exit","estimated_entries","estimated_exits","record_type","data_source","created_at"
"1","1","1","5773625","2886812","2886812","Annual","TfL Official","2026-05-29 15:27:48.819459"
"2","1","2","5816798","2908399","2908399","Annual","TfL Official","2026-05-29 15:27:48.819459"
"3","1","3","5459521","2729760","2729760","Annual","TfL Official","2026-05-29 15:27:48.819459"
"4","1","4","5428316","2714158","2714158","Annual","TfL Official","2026-05-29 15:27:48.819459"
"5","1","5","5462387","2731193","2731193","Annual","TfL Official","2026-05-29 15:27:48.819459"
"6","1","6","5584934","2792467","2792467","Annual","TfL Official","2026-05-29 15:27:48.819459"
"7","1","7","5748994","2874497","2874497","Annual","TfL Official","2026-05-29 15:27:48.819459"
"8","1","8","6059017","3029508","3029508","Annual","TfL Official","2026-05-29 15:27:48.819459"
"9","1","9","6235045","3117522","3117522","Annual","TfL Official","2026-05-29 15:27:48.819459"
"10","1","10","6274649","3137324","3137324","Annual","TfL Official","2026-05-29 15:27:48.819459"
"11","1","11","5731527","2865763","2865763","Annual","TfL Official","2026-05-29 15:27:48.819459"
"12","1","12","5794685","2897342","2897342","Annual","TfL Official","2026-05-29 15:27:48.819459"
"13","1","13","6186555","3093277","3093277","Annual","TfL Official","2026-05-29 15:27:48.819459"
"14","1","14","3568528","1784264","1784264","Annual","TfL Official","2026-05-29 15:27:48.819459"
"15","1","15","2902697","1451348","1451348","Annual","TfL Official","2026-05-29 15:27:48.819459"
"16","2","1","9558748","4779374","4779374","Annual","TfL Official","2026-05-29 15:27:48.819459"
"17","2","2","10030975","5015487","5015487","Annual","TfL Official","2026-05-29 15:27:48.819459"
"18","2","3","9261249","4630624","4630624","Annual","TfL Official","2026-05-29 15:27:48.819459"
"19","2","4","8873092","4436546","4436546","Annual","TfL Official","2026-05-29 15:27:48.819459"
"20","2","5","9228704","4614352","4614352","Annual","TfL Official","2026-05-29 15:27:48.819459"
"21","2","6","9850562","4925281","4925281","Annual","TfL Official","2026-05-29 15:27:48.819459"
"22","2","7","10464425","5232212","5232212","Annual","TfL Official","2026-05-29 15:27:48.819459"
"23","2","8","11444738","5722369","5722369","Annual","TfL Official","2026-05-29 15:27:48.819459"
"24","2","9","11283478","5641739","5641739","Annual","TfL Official","2026-05-29 15:27:48.819459"
"25","2","10","11973122","5986561","5986561","Annual","TfL Official","2026-05-29 15:27:48.819459"
"26","2","11","11303155","5651577","5651577","Annual","TfL Official","2026-05-29 15:27:48.819459"
"27","2","12","11160091","5580045","5580045","Annual","TfL Official","2026-05-29 15:27:48.819459"
"28","2","13","10467974","5233987","5233987","Annual","TfL Official","2026-05-29 15:27:48.819459"
"29","2","14","2537108","1268554","1268554","Annual","TfL Official","2026-05-29 15:27:48.819459"
"30","2","15","3467856","1733928","1733928","Annual","TfL Official","2026-05-29 15:27:48.819459"
"31","3","1","5572412","2786206","2786206","Annual","TfL Official","2026-05-29 15:27:48.819459"
"32","3","2","6243135","3121567","3121567","Annual","TfL Official","2026-05-29 15:27:48.819459"
"33","3","3","5974176","2987088","2987088","Annual","TfL Official","2026-05-29 15:27:48.819459"
"34","3","4","6026534","3013267","3013267","Annual","TfL Official","2026-05-29 15:27:48.819459"
"35","3","5","6235513","3117756","3117756","Annual","TfL Official","2026-05-29 15:27:48.819459"
"36","3","6","6647283","3323641","3323641","Annual","TfL Official","2026-05-29 15:27:48.819459"
"37","3","7","6877712","3438856","3438856","Annual","TfL Official","2026-05-29 15:27:48.819459"
"38","3","8","7221566","3610783","3610783","Annual","TfL Official","2026-05-29 15:27:48.819459"
"39","3","9","7527810","3763905","3763905","Annual","TfL Official","2026-05-29 15:27:48.819459"
"40","3","10","8009494","4004747","4004747","Annual","TfL Official","2026-05-29 15:27:48.819459"
"41","3","11","8459234","4229617","4229617","Annual","TfL Official","2026-05-29 15:27:48.819459"
"42","3","12","9218140","4609070","4609070","Annual","TfL Official","2026-05-29 15:27:48.819459"
"43","3","13","9956600","4978300","4978300","Annual","TfL Official","2026-05-29 15:27:48.819459"
"44","3","14","2775844","1387922","1387922","Annual","TfL Official","2026-05-29 15:27:48.819459"
"45","3","15","3525128","1762564","1762564","Annual","TfL Official","2026-05-29 15:27:48.819459"
"46","4","1","7657338","3828669","3828669","Annual","TfL Official","2026-05-29 15:27:48.819459"
